prefix,sum
99-RP АЗС 63,236316
99-RP АЗС 64,37440
99-RP АЗС 65,859318
99-RP АЗС 66,64548
99-RP АЗС 67,1026092
99-RP АЗС 68,195994
99-RP АЗС 69,1373390
99-RP АЗС 7,713858
99-RP АЗС 70,115444
99-RP АЗС 71,145774
99-RP АЗС 72,1032812
99-RP АЗС 73,480738
99-RP АЗС 74,602736
99-RP АЗС 9,329428
