НА:2026-09-11T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","В/групповая реализация товаров и услуг","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"111",10856188,0,0,0,0,0,0,0,0,-828273,0,-1148723,0,0,0,0,0,0,236779,0,0,0,0,0,0,0,0,0,0,-541896,0,8574075
"111697",0,0,0,0,0,0,0,0,0,0,0,-429550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-429550
"112",88466,0,0,0,0,0,0,0,0,0,0,-47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41466
"113",4150807,0,0,0,0,0,0,0,0,1056295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5207102
"114",545656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545656
"115",4225564,0,0,0,0,0,0,0,0,-17635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4207929
"116",29635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29635
"117",22639,0,0,0,0,0,0,0,0,71580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94219
"1179",0,0,0,0,0,0,0,0,0,0,0,-3969276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3969276
"118",22224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22224
"119",108055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108055
"12",0,0,0,0,0,0,0,0,0,0,0,-695298,0,0,0,0,0,0,0,225000,0,0,0,0,0,0,0,0,0,0,0,-470298
"121",19762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19762
"122",26757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26757
"123",14382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14382
"1249",0,0,0,0,0,0,0,0,0,0,0,-61000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61000
"125",0,0,0,0,0,0,0,0,0,0,0,-2440577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201114,0,-2641691
"1259",0,0,0,0,0,0,0,0,0,0,0,-64796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64796
"1260",0,0,0,0,0,0,0,0,0,0,0,-2074575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2074575
"13",0,0,0,0,0,0,0,0,0,0,0,-3921466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2384768,0,-6306234
"131",0,0,0,0,0,0,0,0,0,0,0,-146096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-146096
"13203584",0,0,0,0,0,0,0,0,0,0,0,-1341654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1341654
"13238133",0,0,0,0,0,0,0,0,0,0,0,-397149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-397149
"1341",0,0,0,0,0,0,0,0,0,0,0,-57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57000
"14",0,0,0,0,0,0,0,0,0,0,0,-413245,0,0,0,0,0,0,0,0,0,0,0,0,0,-68520,0,0,0,-110548,0,-592313
"1416125",0,0,0,0,0,0,0,0,0,0,0,-2899625,0,0,0,0,0,0,0,612000,0,0,0,0,0,0,0,0,0,-356363,0,-2643988
"142",0,0,0,0,0,0,0,0,0,0,0,-2761450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2761450
"145",0,0,0,0,0,0,0,0,0,0,0,-174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174000
